#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,Name_key,playerID,teamID,salary,FullName,Age
1,Barry Bonds,SFG,143,612,46,117,110,9,0.324,0.077,0.429,0.33,0.37,0.582,0.799,0.544,,244,-1.2,108.9,-2.0,12.7,BARRY BONDS,bondsba01,SFN,15000000.0,Barry Bonds,37.935660506502394
2,Alex Rodriguez,TEX,162,725,57,125,142,9,0.12,0.168,0.324,0.29,0.3,0.392,0.623,0.424,,158,4.7,56.1,19.6,10.0,ALEX RODRIGUEZ,rodrial01,TEX,22000000.0,Alex Rodriguez,26.92950034223135
3,Jim Thome,CLE,147,613,52,101,118,1,0.199,0.227,0.373,0.319,0.304,0.445,0.677,0.461,,189,1.4,68.4,-16.3,7.3,JIM THOME,thomeji01,CLE,8000000.0,Jim Thome,31.84394250513347
4,Vladimir Guerrero,MON,161,709,39,106,111,40,0.118,0.099,0.257,0.327,0.336,0.417,0.593,0.419,,155,0.8,49.3,-0.9,7.1,VLADIMIR GUERRERO,guerrvl01,MON,8000000.0,Vladimir Guerrero,27.38945927446954
5,Brian Giles,PIT,153,644,38,95,103,15,0.21,0.115,0.324,0.282,0.298,0.45,0.622,0.444,,174,1.3,60.7,-12.8,6.9,BRIAN GILES,gilesbr02,PIT,8063003.0,Brian Giles,31.444216290212182
6,Jim Edmonds,STL,144,576,28,96,83,4,0.149,0.233,0.25,0.375,0.311,0.42,0.561,0.414,,157,-1.2,39.6,8.6,6.7,JIM EDMONDS,edmonji01,SLN,7333333.0,Jim Edmonds,32.01095140314853
7,Jeff Kent,SFG,152,682,37,102,108,5,0.076,0.148,0.252,0.324,0.313,0.368,0.565,0.397,,147,0.9,41.3,3.1,6.7,JEFF KENT,kentje01,SFN,6000000.0,Jeff Kent,34.31622176591376
8,Jason Giambi,NYY,155,689,41,120,122,2,0.158,0.163,0.284,0.328,0.314,0.435,0.598,0.44,,175,-5.5,58.2,-16.0,6.6,JASON GIAMBI,giambja01,NYA,10428571.0,Jason Giambi,31.477070499657767
9,Scott Rolen,2 Tms,155,667,31,89,110,8,0.108,0.153,0.238,0.273,0.266,0.357,0.503,0.37,,127,-3.9,18.6,24.9,6.5,SCOTT ROLEN,rolensc01,PHI,8600000.0,Scott Rolen,27.241615331964407
10,Andruw Jones,ATL,154,659,35,91,94,8,0.126,0.205,0.248,0.285,0.264,0.366,0.513,0.377,,130,-1.4,23.5,18.0,6.3,ANDRUW JONES,jonesan01,ATL,10000000.0,Andruw Jones,25.188227241615333
